seq_id,domain,phylum,class,order,family,genus,species
EU442200.1,Eukaryota,Porifera,Demospongiae,Tetractinellida,Geodiidae,Geodia,Geodia californica
KP864882.1,Eukaryota,Platyhelminthes,Cestoda,Diphyllobothriidea,Diphyllobothriidae,Schistocephalus,Schistocephalus solidus
KP865286.1,Eukaryota,Platyhelminthes,Cestoda,Diphyllobothriidea,Diphyllobothriidae,Schistocephalus,Schistocephalus solidus
LT628282.1,Eukaryota,Porifera,Demospongiae,Tetractinellida,Tetillidae,Cinachyrella,Cinachyrella alloclada
HM999022.1,Eukaryota,Porifera,Demospongiae,Clionaida,Clionaidae,Cliona,Cliona chilensis
AY395656.1,Eukaryota,Platyhelminthes,Cestoda,Cyclophyllidea,Anoplocephalidae,Eurotaenia,Eurotaenia gracilis
HQ379430.1,Eukaryota,Porifera,Demospongiae,Haplosclerida,Chalinidae,Haliclona,Haliclona oculata
KP865165.1,Eukaryota,Platyhelminthes,Cestoda,Diphyllobothriidea,Diphyllobothriidae,Schistocephalus,Schistocephalus solidus
JX999067.1,Eukaryota,Porifera,Demospongiae,Verongiida,Ianthellidae,Hexadella,Hexadella pruvoti
KP864998.1,Eukaryota,Platyhelminthes,Cestoda,Diphyllobothriidea,Diphyllobothriidae,Schistocephalus,Schistocephalus solidus
KU060633.1,Eukaryota,Porifera,Demospongiae,Dictyoceratida,Irciniidae,Ircinia,Ircinia sp. GW3385
KP864883.1,Eukaryota,Platyhelminthes,Cestoda,Diphyllobothriidea,Diphyllobothriidae,Schistocephalus,Schistocephalus solidus
KP101622.1,Eukaryota,Platyhelminthes,Cestoda,Cyclophyllidea,Taeniidae,Echinococcus,Echinococcus granulosus
KP864849.1,Eukaryota,Platyhelminthes,Cestoda,Diphyllobothriidea,Diphyllobothriidae,Schistocephalus,Schistocephalus solidus
JF803696.1,Eukaryota,Platyhelminthes,Cestoda,Rhinebothriidea,Rhinebothriidae,Rhinebothrium,Rhinebothrium copianullum
EF519676.1,Eukaryota,Porifera,Demospongiae,Suberitida,Suberitidae,Suberites,Suberites aurantiacus
KP865583.1,Eukaryota,Platyhelminthes,Cestoda,Diphyllobothriidea,Diphyllobothriidae,Schistocephalus,Schistocephalus solidus
DQ075736.1,Eukaryota,Porifera,Demospongiae,Agelasida,Agelasidae,Agelas,Agelas dispar
JF803699.1,Eukaryota,Platyhelminthes,Cestoda,Rhinebothriidea,Rhinebothriidae,Rhinebothrium,Rhinebothrium copianullum
KX020323.1,Eukaryota,Platyhelminthes,Cestoda,Cyclophyllidea,Taeniidae,Echinococcus,Echinococcus granulosus
JX177891.1,Eukaryota,Porifera,Demospongiae,Tetractinellida,Tetillidae,Paratetilla,Paratetilla bacca
DQ075731.1,Eukaryota,Porifera,Demospongiae,Agelasida,Agelasidae,Agelas,Agelas sventres
KP865744.1,Eukaryota,Platyhelminthes,Cestoda,Diphyllobothriidea,Diphyllobothriidae,Schistocephalus,Schistocephalus solidus
LT628304.1,Eukaryota,Porifera,Demospongiae,Tetractinellida,Tetillidae,Cinachyrella,Cinachyrella alloclada
KX039963.1,Eukaryota,Platyhelminthes,Cestoda,Cyclophyllidea,Taeniidae,Echinococcus,Echinococcus granulosus
KP865298.1,Eukaryota,Platyhelminthes,Cestoda,Diphyllobothriidea,Diphyllobothriidae,Schistocephalus,Schistocephalus solidus
KP865577.1,Eukaryota,Platyhelminthes,Cestoda,Diphyllobothriidea,Diphyllobothriidae,Schistocephalus,Schistocephalus solidus
KU925383.1,Eukaryota,Platyhelminthes,Cestoda,Cyclophyllidea,Taeniidae,Echinococcus,Echinococcus granulosus
KP864903.1,Eukaryota,Platyhelminthes,Cestoda,Diphyllobothriidea,Diphyllobothriidae,Schistocephalus,Schistocephalus solidus
KM014630.1,Eukaryota,Platyhelminthes,Cestoda,Cyclophyllidea,Taeniidae,Echinococcus,Echinococcus granulosus
DQ318954.1,Eukaryota,Platyhelminthes,Cestoda,Cyclophyllidea,Taeniidae,Echinococcus,Echinococcus ortleppi
KP864900.1,Eukaryota,Platyhelminthes,Cestoda,Diphyllobothriidea,Diphyllobothriidae,Schistocephalus,Schistocephalus solidus
KX010861.1,Eukaryota,Platyhelminthes,Cestoda,Cyclophyllidea,Taeniidae,Echinococcus,Echinococcus canadensis
KU925363.1,Eukaryota,Platyhelminthes,Cestoda,Cyclophyllidea,Taeniidae,Echinococcus,Echinococcus granulosus
KT376533.1,Eukaryota,Platyhelminthes,Cestoda,Diphyllobothriidea,Diphyllobothriidae,Spirometra,Spirometra erinaceieuropaei
KP865333.1,Eukaryota,Platyhelminthes,Cestoda,Diphyllobothriidea,Diphyllobothriidae,Schistocephalus,Schistocephalus solidus
KP865138.1,Eukaryota,Platyhelminthes,Cestoda,Diphyllobothriidea,Diphyllobothriidae,Schistocephalus,Schistocephalus solidus
AY181526.1,Eukaryota,Platyhelminthes,Cestoda,Cyclophyllidea,Anoplocephalidae,Paranoplocephala,Paranoplocephala omphalodes
KP865549.1,Eukaryota,Platyhelminthes,Cestoda,Diphyllobothriidea,Diphyllobothriidae,Schistocephalus,Schistocephalus solidus
EF519548.1,Eukaryota,Porifera,Demospongiae,Agelasida,Agelasidae,Agelas,Agelas dispar
KT253806.1,Eukaryota,Porifera,Demospongiae,Haplosclerida,Chalinidae,Haliclona,Haliclona cf. caerulea Hawaii Kan 20
